"lhs" "" "rhs" "support" "confidence" "lift"
"[224]" "{인하대,최대}" "=>" "{정석}" 0.32258064516129 0.666666666666667 1.14814814814815
"[225]" "{인하대,정석}" "=>" "{최대}" 0.32258064516129 0.588235294117647 1.2156862745098
"[226]" "{정석,최대}" "=>" "{어디}" 0.258064516129032 0.8 0.885714285714286
"[227]" "{어디,최대}" "=>" "{정석}" 0.258064516129032 0.615384615384615 1.05982905982906
"[228]" "{어디,정석}" "=>" "{최대}" 0.258064516129032 0.5 1.03333333333333
"[229]" "{면접,최대}" "=>" "{필요}" 0.225806451612903 0.875 1.23295454545455
"[230]" "{최대,필요}" "=>" "{면접}" 0.225806451612903 0.583333333333333 0.951754385964912
"[231]" "{면접,필요}" "=>" "{최대}" 0.225806451612903 0.583333333333333 1.20555555555556
"[232]" "{면접,최대}" "=>" "{문의}" 0.258064516129032 1 1.29166666666667
"[233]" "{문의,최대}" "=>" "{면접}" 0.258064516129032 0.571428571428571 0.932330827067669
"[234]" "{면접,최대}" "=>" "{저녁}" 0.225806451612903 0.875 1.085
"[235]" "{저녁,최대}" "=>" "{면접}" 0.225806451612903 0.538461538461538 0.878542510121457
"[236]" "{면접,최대}" "=>" "{인하대}" 0.258064516129032 1 1.14814814814815
"[237]" "{인하대,최대}" "=>" "{면접}" 0.258064516129032 0.533333333333333 0.870175438596491
"[238]" "{면접,인하대}" "=>" "{최대}" 0.258064516129032 0.5 1.03333333333333
"[239]" "{최대,필요}" "=>" "{문의}" 0.387096774193548 1 1.29166666666667
"[240]" "{문의,최대}" "=>" "{필요}" 0.387096774193548 0.857142857142857 1.20779220779221
"[241]" "{문의,필요}" "=>" "{최대}" 0.387096774193548 0.705882352941177 1.45882352941176
"[242]" "{최대,필요}" "=>" "{저녁}" 0.32258064516129 0.833333333333333 1.03333333333333
"[243]" "{저녁,최대}" "=>" "{필요}" 0.32258064516129 0.769230769230769 1.08391608391608
"[244]" "{저녁,필요}" "=>" "{최대}" 0.32258064516129 0.588235294117647 1.2156862745098
"[245]" "{최대,필요}" "=>" "{인하대}" 0.387096774193548 1 1.14814814814815
"[246]" "{인하대,최대}" "=>" "{필요}" 0.387096774193548 0.8 1.12727272727273
"[247]" "{인하대,필요}" "=>" "{최대}" 0.387096774193548 0.6 1.24
"[248]" "{최대,필요}" "=>" "{어디}" 0.32258064516129 0.833333333333333 0.922619047619048
"[249]" "{어디,최대}" "=>" "{필요}" 0.32258064516129 0.769230769230769 1.08391608391608
"[250]" "{어디,필요}" "=>" "{최대}" 0.32258064516129 0.5 1.03333333333333
"[251]" "{문의,최대}" "=>" "{저녁}" 0.387096774193548 0.857142857142857 1.06285714285714
"[252]" "{저녁,최대}" "=>" "{문의}" 0.387096774193548 0.923076923076923 1.19230769230769
"[253]" "{문의,저녁}" "=>" "{최대}" 0.387096774193548 0.631578947368421 1.30526315789474
"[254]" "{문의,최대}" "=>" "{인하대}" 0.451612903225806 1 1.14814814814815
"[255]" "{인하대,최대}" "=>" "{문의}" 0.451612903225806 0.933333333333333 1.20555555555556
"[256]" "{문의,인하대}" "=>" "{최대}" 0.451612903225806 0.666666666666667 1.37777777777778
"[257]" "{문의,최대}" "=>" "{어디}" 0.387096774193548 0.857142857142857 0.948979591836735
"[258]" "{어디,최대}" "=>" "{문의}" 0.387096774193548 0.923076923076923 1.19230769230769
"[259]" "{문의,어디}" "=>" "{최대}" 0.387096774193548 0.571428571428571 1.18095238095238
"[260]" "{저녁,최대}" "=>" "{인하대}" 0.419354838709677 1 1.14814814814815
"[261]" "{인하대,최대}" "=>" "{저녁}" 0.419354838709677 0.866666666666667 1.07466666666667
"[262]" "{인하대,저녁}" "=>" "{최대}" 0.419354838709677 0.541666666666667 1.11944444444444
"[263]" "{저녁,최대}" "=>" "{어디}" 0.354838709677419 0.846153846153846 0.936813186813187
