"lhs" "" "rhs" "support" "confidence" "lift"
"[163]" "{서울,지역}" "=>" "{참고}" 0.161290322580645 0.833333333333333 1.35964912280702
"[164]" "{서울,지역}" "=>" "{소요}" 0.161290322580645 0.833333333333333 1.29166666666667
"[165]" "{서울,지역}" "=>" "{기간}" 0.193548387096774 1 1.40909090909091
"[166]" "{기간,서울}" "=>" "{지역}" 0.193548387096774 0.75 1.66071428571429
"[167]" "{서울,지역}" "=>" "{오늘}" 0.193548387096774 1 1.14814814814815
"[168]" "{서울,지역}" "=>" "{신청}" 0.193548387096774 1 1.06896551724138
"[169]" "{기본,서울}" "=>" "{금요일}" 0.161290322580645 1 1.9375
"[170]" "{기본,서울}" "=>" "{도움}" 0.129032258064516 0.8 1.18095238095238
"[171]" "{기본,서울}" "=>" "{오늘}" 0.161290322580645 1 1.14814814814815
"[172]" "{기본,서울}" "=>" "{신청}" 0.161290322580645 1 1.06896551724138
"[173]" "{서울,지하}" "=>" "{안전}" 0.161290322580645 0.833333333333333 1.72222222222222
"[174]" "{서울,안전}" "=>" "{도움}" 0.193548387096774 0.75 1.10714285714286
"[175]" "{도움,서울}" "=>" "{안전}" 0.193548387096774 0.75 1.55
"[176]" "{서울,안전}" "=>" "{오늘}" 0.258064516129032 1 1.14814814814815
"[177]" "{서울,안전}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[178]" "{서울,지하}" "=>" "{도움}" 0.161290322580645 0.833333333333333 1.23015873015873
"[179]" "{서울,지하}" "=>" "{오늘}" 0.193548387096774 1 1.14814814814815
"[180]" "{서울,지하}" "=>" "{신청}" 0.193548387096774 1 1.06896551724138
"[181]" "{서울,참고}" "=>" "{금요일}" 0.193548387096774 0.75 1.453125
"[182]" "{도움,서울}" "=>" "{금요일}" 0.193548387096774 0.75 1.453125
"[183]" "{금요일,서울}" "=>" "{오늘}" 0.290322580645161 1 1.14814814814815
"[184]" "{금요일,서울}" "=>" "{신청}" 0.290322580645161 1 1.06896551724138
"[185]" "{서울,참고}" "=>" "{소요}" 0.193548387096774 0.75 1.1625
"[186]" "{서울,소요}" "=>" "{참고}" 0.193548387096774 0.75 1.22368421052632
"[187]" "{서울,참고}" "=>" "{기간}" 0.225806451612903 0.875 1.23295454545455
"[188]" "{기간,서울}" "=>" "{참고}" 0.225806451612903 0.875 1.42763157894737
"[189]" "{서울,참고}" "=>" "{오늘}" 0.258064516129032 1 1.14814814814815
"[190]" "{서울,참고}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[191]" "{서울,소요}" "=>" "{기간}" 0.225806451612903 0.875 1.23295454545455
"[192]" "{기간,서울}" "=>" "{소요}" 0.225806451612903 0.875 1.35625
"[193]" "{서울,소요}" "=>" "{오늘}" 0.258064516129032 1 1.14814814814815
"[194]" "{서울,소요}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[195]" "{도움,서울}" "=>" "{오늘}" 0.258064516129032 1 1.14814814814815
"[196]" "{도움,서울}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[197]" "{기간,서울}" "=>" "{오늘}" 0.258064516129032 1 1.14814814814815
"[198]" "{기간,서울}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[199]" "{서울,오늘}" "=>" "{신청}" 0.419354838709677 1 1.06896551724138
"[200]" "{서울,신청}" "=>" "{오늘}" 0.419354838709677 1 1.14814814814815
"[201]" "{기본,지역}" "=>" "{기간}" 0.129032258064516 0.8 1.12727272727273
"[202]" "{기본,지역}" "=>" "{오늘}" 0.129032258064516 0.8 0.918518518518519
"[203]" "{기본,지역}" "=>" "{신청}" 0.161290322580645 1 1.06896551724138
"[204]" "{안전,지역}" "=>" "{지하}" 0.161290322580645 0.714285714285714 1.38392857142857
"[205]" "{지역,지하}" "=>" "{안전}" 0.161290322580645 0.714285714285714 1.47619047619048
"[206]" "{안전,지역}" "=>" "{참고}" 0.193548387096774 0.857142857142857 1.3984962406015
"[207]" "{안전,지역}" "=>" "{소요}" 0.161290322580645 0.714285714285714 1.10714285714286
"[208]" "{안전,지역}" "=>" "{기간}" 0.225806451612903 1 1.40909090909091
"[209]" "{안전,지역}" "=>" "{오늘}" 0.225806451612903 1 1.14814814814815
"[210]" "{안전,지역}" "=>" "{신청}" 0.225806451612903 1 1.06896551724138
"[211]" "{지역,지하}" "=>" "{참고}" 0.193548387096774 0.857142857142857 1.3984962406015
"[212]" "{지역,지하}" "=>" "{기간}" 0.225806451612903 1 1.40909090909091
"[213]" "{지역,지하}" "=>" "{오늘}" 0.193548387096774 0.857142857142857 0.984126984126984
"[214]" "{지역,지하}" "=>" "{신청}" 0.225806451612903 1 1.06896551724138
"[215]" "{금요일,지역}" "=>" "{참고}" 0.193548387096774 0.857142857142857 1.3984962406015
"[216]" "{금요일,지역}" "=>" "{기간}" 0.193548387096774 0.857142857142857 1.20779220779221
"[217]" "{금요일,지역}" "=>" "{오늘}" 0.225806451612903 1 1.14814814814815
"[218]" "{금요일,지역}" "=>" "{신청}" 0.225806451612903 1 1.06896551724138
"[219]" "{지역,참고}" "=>" "{소요}" 0.258064516129032 0.727272727272727 1.12727272727273
"[220]" "{소요,지역}" "=>" "{참고}" 0.258064516129032 0.8 1.30526315789474
"[221]" "{도움,지역}" "=>" "{참고}" 0.161290322580645 0.714285714285714 1.16541353383459
"[222]" "{지역,참고}" "=>" "{기간}" 0.354838709677419 1 1.40909090909091
"[223]" "{기간,지역}" "=>" "{참고}" 0.354838709677419 0.846153846153846 1.38056680161943
"[224]" "{지역,참고}" "=>" "{오늘}" 0.32258064516129 0.909090909090909 1.04377104377104
"[225]" "{오늘,지역}" "=>" "{참고}" 0.32258064516129 0.833333333333333 1.35964912280702
"[226]" "{지역,참고}" "=>" "{신청}" 0.354838709677419 1 1.06896551724138
"[227]" "{신청,지역}" "=>" "{참고}" 0.354838709677419 0.785714285714286 1.28195488721805
"[228]" "{소요,지역}" "=>" "{기간}" 0.290322580645161 0.9 1.26818181818182
"[229]" "{소요,지역}" "=>" "{오늘}" 0.290322580645161 0.9 1.03333333333333
